DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,solar_power
15-05-2020 00:00,4135001,HmiyD2TTLFNqkNe,25.18431613,22.8575074,0,0
15-05-2020 00:15,4135001,HmiyD2TTLFNqkNe,25.08458867,22.76166787,0,0
15-05-2020 00:30,4135001,HmiyD2TTLFNqkNe,24.9357526,22.59230553,0,0
15-05-2020 00:45,4135001,HmiyD2TTLFNqkNe,24.8461304,22.36085213,0,0
15-05-2020 01:00,4135001,HmiyD2TTLFNqkNe,24.62152536,22.16542264,0,0
15-05-2020 01:15,4135001,HmiyD2TTLFNqkNe,24.5360922,21.96857087,0,0
15-05-2020 01:30,4135001,HmiyD2TTLFNqkNe,24.63867387,22.35292567,0,0
15-05-2020 01:45,4135001,HmiyD2TTLFNqkNe,24.87302233,23.1609192,0,0
15-05-2020 02:00,4135001,HmiyD2TTLFNqkNe,24.93693047,23.026113,0,0
15-05-2020 02:15,4135001,HmiyD2TTLFNqkNe,25.0122476,23.34322927,0,0
15-05-2020 02:30,4135001,HmiyD2TTLFNqkNe,25.00514933,23.63945927,0,0
15-05-2020 02:45,4135001,HmiyD2TTLFNqkNe,24.99301953,24.0394858,0,0
15-05-2020 03:00,4135001,HmiyD2TTLFNqkNe,25.01630943,24.38413557,0,0
15-05-2020 03:15,4135001,HmiyD2TTLFNqkNe,24.98521527,24.35150773,0,0
15-05-2020 03:30,4135001,HmiyD2TTLFNqkNe,24.93773193,24.06029653,0,0
15-05-2020 03:45,4135001,HmiyD2TTLFNqkNe,24.87909953,23.70979413,0,0
15-05-2020 04:00,4135001,HmiyD2TTLFNqkNe,24.6789022,22.58994153,0,0
15-05-2020 04:15,4135001,HmiyD2TTLFNqkNe,24.3519308,21.78364253,0,0
15-05-2020 04:30,4135001,HmiyD2TTLFNqkNe,24.0626222,21.85252493,0,0
15-05-2020 04:45,4135001,HmiyD2TTLFNqkNe,24.0132242,22.306315,0,0
15-05-2020 05:00,4135001,HmiyD2TTLFNqkNe,24.1771058,22.55190847,0,0
15-05-2020 05:15,4135001,HmiyD2TTLFNqkNe,24.304888,22.97949207,0,0
15-05-2020 05:30,4135001,HmiyD2TTLFNqkNe,24.32872727,23.45238047,0,0
15-05-2020 05:45,4135001,HmiyD2TTLFNqkNe,24.28921113,23.09669193,0.000862721,0
15-05-2020 06:00,4135001,HmiyD2TTLFNqkNe,24.08844607,22.2067566,0.005886957,942.1488095
15-05-2020 06:15,4135001,HmiyD2TTLFNqkNe,24.01163527,22.35345867,0.022281607,6142.10119
15-05-2020 06:30,4135001,HmiyD2TTLFNqkNe,23.97673127,22.893282,0.049409724,15271.15476
15-05-2020 06:45,4135001,HmiyD2TTLFNqkNe,24.21899,24.44244393,0.095394454,28626.58929
15-05-2020 07:00,4135001,HmiyD2TTLFNqkNe,24.5373984,27.18565287,0.141940443,41345.91429
15-05-2020 07:15,4135001,HmiyD2TTLFNqkNe,24.8159595,28.88847786,0.154712676,44564.20833
15-05-2020 07:30,4135001,HmiyD2TTLFNqkNe,24.98878987,29.6056438,0.148799153,43619.29167
15-05-2020 07:45,4135001,HmiyD2TTLFNqkNe,25.21618033,29.54711093,0.144793419,44395.89286
15-05-2020 08:00,4135001,HmiyD2TTLFNqkNe,25.41951307,31.41254473,0.201638621,64834.80357
15-05-2020 08:15,4135001,HmiyD2TTLFNqkNe,25.95908213,35.5287108,0.345707653,101937.1571
15-05-2020 08:30,4135001,HmiyD2TTLFNqkNe,26.43078207,40.3180586,0.405348573,112129.5655
